# Column info
#------------
#   1. Redshift
#   2. Omega_m
#   3. Omega_DE
#   4. w
#   5. D_A (ang. diam. distance, in h^{-1} Mpc
#   6. D_L (luminosity distance, in h^{-1} Mpc
#   7. DM (distance modulus), in mags + 5 log h
#   8. t_l (lookback time), in h^{-1} years
#   9. 4*PI*D_L^2, in h^{-2} Mpc^2
#  10. 4*PI*D_L^2, in h^{-2} cm^2
#  11. Physical distance subtending 1 arcsec, in h^{-1} kpc
#  12. Angle subtended by 1 h^{-1} Mpc, in arcmin
#  13. Angle subtended by 1 h^{-1} COMOVING Mpc, in arcmin
#
#
#  z   Om_m Om_L  w   D_A  D_L  DM     t_l     4*PI*DL^2 4*PI*DL^2 1asec  1Mpc  1Mpc
#----- ---- ---- ---- ---- ---- ----- --------- --------- --------- ----- ----- -----
 3.300 0.30 0.70 -1.0 1078 19931 46.50 8.116e+09 4.992e+09 4.797e+58  5.23  3.19  0.74
 3.350 0.30 0.70 -1.0 1072 20293 46.54 8.138e+09 5.175e+09 4.973e+58  5.20  3.21  0.74
 3.400 0.30 0.70 -1.0 1067 20656 46.58 8.160e+09 5.362e+09 5.152e+58  5.17  3.22  0.73
 3.450 0.30 0.70 -1.0 1061 21019 46.61 8.182e+09 5.552e+09 5.336e+58  5.15  3.24  0.73
 3.500 0.30 0.70 -1.0 1056 21384 46.65 8.203e+09 5.746e+09 5.522e+58  5.12  3.26  0.72
 3.550 0.30 0.70 -1.0 1051 21749 46.69 8.223e+09 5.944e+09 5.712e+58  5.09  3.27  0.72
 3.600 0.30 0.70 -1.0 1045 22115 46.72 8.243e+09 6.146e+09 5.906e+58  5.07  3.29  0.72
 3.650 0.30 0.70 -1.0 1040 22482 46.76 8.262e+09 6.352e+09 6.104e+58  5.04  3.31  0.71
 3.700 0.30 0.70 -1.0 1034 22849 46.79 8.281e+09 6.561e+09 6.305e+58  5.01  3.32  0.71
 3.750 0.30 0.70 -1.0 1029 23218 46.83 8.299e+09 6.774e+09 6.510e+58  4.99  3.34  0.70
 3.800 0.30 0.70 -1.0 1024 23586 46.86 8.317e+09 6.991e+09 6.718e+58  4.96  3.36  0.70
 3.850 0.30 0.70 -1.0 1018 23956 46.90 8.334e+09 7.212e+09 6.930e+58  4.94  3.38  0.70
 3.900 0.30 0.70 -1.0 1013 24326 46.93 8.351e+09 7.436e+09 7.146e+58  4.91  3.39  0.69
 3.950 0.30 0.70 -1.0 1008 24697 46.96 8.367e+09 7.665e+09 7.366e+58  4.89  3.41  0.69
 4.000 0.30 0.70 -1.0 1003 25068 47.00 8.383e+09 7.897e+09 7.589e+58  4.86  3.43  0.69
 4.050 0.30 0.70 -1.0  998 25441 47.03 8.399e+09 8.133e+09 7.816e+58  4.84  3.45  0.68
 4.100 0.30 0.70 -1.0  992 25813 47.06 8.414e+09 8.373e+09 8.047e+58  4.81  3.46  0.68
 4.150 0.30 0.70 -1.0  987 26187 47.09 8.429e+09 8.617e+09 8.281e+58  4.79  3.48  0.68
 4.200 0.30 0.70 -1.0  982 26561 47.12 8.444e+09 8.865e+09 8.520e+58  4.76  3.50  0.67
 4.250 0.30 0.70 -1.0  977 26935 47.15 8.458e+09 9.117e+09 8.762e+58  4.74  3.52  0.67
 4.300 0.30 0.70 -1.0  972 27311 47.18 8.472e+09 9.373e+09 9.007e+58  4.71  3.54  0.67
 4.350 0.30 0.70 -1.0  967 27686 47.21 8.486e+09 9.633e+09 9.257e+58  4.69  3.55  0.66
 4.400 0.30 0.70 -1.0  962 28063 47.24 8.499e+09 9.896e+09 9.510e+58  4.67  3.57  0.66
 4.450 0.30 0.70 -1.0  957 28440 47.27 8.512e+09 1.016e+10 9.768e+58  4.64  3.59  0.66
